Rusty SMITH POSITION,Rusty SMITH LAP TIME,Rusty SMITH ELAPSED TIME,Andre HARTWIG POSITION,Andre HARTWIG LAP TIME,Andre HARTWIG ELAPSED TIME,Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,Jean-Francois MONETTE POSITION,Jean-Francois MONETTE LAP TIME,Jean-Francois MONETTE ELAPSED TIME
4,15.390,15.390,3,13.672,13.672,2,13.452,13.452,1,13.377,13.377
4,8.436,23.826,1,9.940,23.611,3,10.267,23.718,2,10.316,23.692
3,10.118,33.943,2,10.311,33.922,4,10.528,34.245,1,10.091,33.783
2,10.869,44.812,1,10.872,44.793,3,10.573,44.818,4,11.043,44.826
1,9.869,54.681,2,10.007,54.800,3,10.162,54.979,4,10.334,55.159
4,10.050,1:04.730,1,9.605,1:04.404,2,9.666,1:04.645,3,9.549,1:04.708
3,9.650,1:14.380,2,9.946,1:14.350,1,9.495,1:14.139,4,9.681,1:14.388
2,9.522,1:23.902,3,9.698,1:24.048,1,9.495,1:23.633,4,9.660,1:24.048
1,9.80,1:33.700,2,9.88,1:33.924,4,10.51,1:34.134,3,9.90,1:33.945
