Yasuko SAKASHITA POSITION,Yasuko SAKASHITA LAP TIME,Yasuko SAKASHITA ELAPSED TIME,Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME,Jessica HEWITT POSITION,Jessica HEWITT LAP TIME,Jessica HEWITT ELAPSED TIME,PAPAKONSTANTI Efi POSITION,PAPAKONSTANTI Efi LAP TIME,PAPAKONSTANTI Efi ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME
3,9.34,9.34,1,9.19,9.19,4,9.50,9.50,5,9.51,9.51,2,9.31,9.31
2,12.27,21.61,1,12.28,21.47,5,12.48,21.98,4,12.31,21.82,3,12.43,21.74
2,11.68,33.29,1,11.66,33.13,5,11.70,33.68,4,11.74,33.56,3,11.69,33.43
2,10.84,44.13,1,10.87,44.00,5,10.81,44.49,4,10.79,44.35,3,10.82,44.25
2,11.05,55.18,1,11.06,55.06,5,11.04,55.53,4,11.08,55.43,3,11.06,55.31
2,11.04,1:06.22,1,11.06,1:06.12,5,10.97,1:06.50,4,10.96,1:06.39,3,10.95,1:06.26
3,10.62,1:16.84,1,10.47,1:16.59,2,10.21,1:16.71,5,10.82,1:17.21,4,10.78,1:17.04
3,10.06,1:26.90,1,10.05,1:26.64,2,10.06,1:26.77,5,9.93,1:27.14,4,9.89,1:26.93
5,10.32,1:37.22,2,10.09,1:36.73,1,9.93,1:36.70,4,9.91,1:37.05,3,10.01,1:36.94
4,10.04,1:47.26,2,9.96,1:46.69,1,9.86,1:46.56,5,10.25,1:47.30,3,10.16,1:47.10
5,10.35,1:57.61,1,9.55,1:56.24,2,9.72,1:56.28,4,10.11,1:57.41,3,10.22,1:57.32
3,10.63,2:08.24,1,10.03,2:06.27,2,10.08,2:06.36,5,11.08,2:08.49,4,10.93,2:08.25
3,10.21,2:18.45,1,9.76,2:16.03,2,9.79,2:16.15,5,11.41,2:19.90,4,10.84,2:19.09
3,10.79,2:29.231,1,10.07,2:26.095,2,10.26,2:26.405,5,12.01,2:31.908,4,11.93,2:31.011
