Ronald CALDECUTT POSITION,Ronald CALDECUTT LAP TIME,Ronald CALDECUTT ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME
1,6.97,6.97,4,7.27,7.27,2,7.07,7.07,5,7.29,7.29,3,7.16,7.16
3,9.68,16.65,5,9.67,16.94,1,9.37,16.44,4,9.46,16.75,2,9.47,16.63
5,9.36,26.01,4,9.06,26.00,1,9.00,25.44,3,8.93,25.68,2,8.86,25.49
5,9.41,35.42,4,9.27,35.27,2,9.00,34.44,3,8.87,34.55,1,8.94,34.43
5,9.59,45.001,4,9.44,44.701,3,9.48,43.917,1,8.92,43.470,2,9.31,43.735
