Adwin SNELLINK POSITION,Adwin SNELLINK LAP TIME,Adwin SNELLINK ELAPSED TIME,Thibault CROLET POSITION,Thibault CROLET LAP TIME,Thibault CROLET ELAPSED TIME,Hannes KROEGER POSITION,Hannes KROEGER LAP TIME,Hannes KROEGER ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME,Max BACKSTROM POSITION,Max BACKSTROM LAP TIME,Max BACKSTROM ELAPSED TIME
2,14.75,14.75,4,15.05,15.05,3,14.94,14.94,1,14.74,14.74,5,15.08,15.08
2,11.09,25.84,5,10.97,26.02,3,10.93,25.87,1,11.02,25.76,4,10.94,26.02
1,10.20,36.04,4,10.34,36.36,3,10.40,36.27,2,10.38,36.14,5,10.37,36.39
1,9.88,45.92,2,9.63,45.99,4,9.87,46.14,3,9.93,46.07,5,9.94,46.33
1,9.47,55.39,2,9.47,55.46,4,9.53,55.67,3,9.51,55.58,5,9.48,55.81
1,9.36,1:04.75,2,9.42,1:04.88,4,9.43,1:05.10,3,9.43,1:05.01,5,9.46,1:05.27
2,9.32,1:14.07,1,9.10,1:13.98,4,9.13,1:14.23,3,9.19,1:14.20,5,9.85,1:15.12
2,9.29,1:23.36,1,9.30,1:23.28,3,9.37,1:23.60,4,9.53,1:23.73,5,10.10,1:25.22
0,,PEN,1,9.39,1:32.664,2,9.34,1:32.932,3,9.43,1:33.156,4,10.29,1:35.510
