JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,Kiichi SHIGEHIRO POSITION,Kiichi SHIGEHIRO LAP TIME,Kiichi SHIGEHIRO ELAPSED TIME,Patrik VELICKO POSITION,Patrik VELICKO LAP TIME,Patrik VELICKO ELAPSED TIME,KIM Si Un POSITION,KIM Si Un LAP TIME,KIM Si Un ELAPSED TIME,Hazar KARAGOL POSITION,Hazar KARAGOL LAP TIME,Hazar KARAGOL ELAPSED TIME
1,6.89,6.89,3,7.32,7.32,4,8.23,8.23,2,7.15,7.15,5,8.40,8.40
1,8.98,15.87,3,9.15,16.47,4,10.24,18.47,2,9.10,16.25,5,10.11,18.51
1,8.75,24.62,3,8.59,25.06,5,10.04,28.51,2,8.70,24.95,4,9.60,28.11
1,9.08,33.70,3,8.81,33.87,5,10.14,38.65,2,8.80,33.75,4,9.76,37.87
3,9.97,43.67,2,9.36,43.23,5,10.58,49.23,1,9.17,42.92,4,9.98,47.85
