KOREA POSITION,KOREA LAP TIME,KOREA ELAPSED TIME,BULGARIA POSITION,BULGARIA LAP TIME,BULGARIA ELAPSED TIME,POLAND POSITION,POLAND LAP TIME,POLAND ELAPSED TIME,UNITED STATES POSITION,UNITED STATES LAP TIME,UNITED STATES ELAPSED TIME
1,12.39,12.39,2,12.42,12.42,3,12.68,12.68,4,12.75,12.75
1,9.27,21.66,2,9.41,21.83,4,11.10,23.78,3,9.45,22.20
1,9.09,30.76,2,9.52,31.35,3,7.57,31.36,4,9.18,31.39
1,8.95,39.71,3,9.53,40.88,2,9.48,40.84,4,9.55,40.95
1,9.39,49.10,2,9.36,50.25,4,9.58,50.43,3,9.45,50.40
1,9.31,58.41,2,9.70,59.95,3,9.57,1:00.01,4,9.70,1:00.10
1,9.63,1:08.04,2,9.52,1:09.48,3,9.69,1:09.70,4,9.65,1:09.76
4,11.68,1:19.72,1,9.30,1:18.78,2,9.34,1:19.04,3,9.29,1:19.05
1,7.02,1:26.75,2,9.59,1:28.38,4,9.71,1:28.76,3,9.42,1:28.47
1,8.94,1:35.70,2,9.55,1:37.93,4,9.85,1:38.61,3,9.64,1:38.12
1,9.37,1:45.07,3,10.03,1:47.96,4,9.86,1:48.48,2,9.28,1:47.41
1,9.66,1:54.73,3,9.93,1:57.89,4,10.00,1:58.48,2,9.44,1:56.85
1,9.60,2:04.34,3,9.85,2:07.74,4,9.39,2:07.87,2,9.31,2:06.17
1,9.39,2:13.73,3,9.32,2:17.06,4,9.59,2:17.47,2,9.33,2:15.50
1,9.39,2:23.12,3,9.63,2:26.70,4,9.65,2:27.12,2,9.60,2:25.11
1,9.05,2:32.18,3,9.67,2:36.37,4,9.95,2:37.08,2,9.43,2:34.55
1,9.55,2:41.73,3,9.87,2:46.25,4,9.86,2:46.95,2,9.68,2:44.23
1,9.51,2:51.24,3,10.02,2:56.27,4,9.98,2:56.93,2,9.88,2:54.11
1,9.51,3:00.76,3,9.94,3:06.21,4,9.92,3:06.85,2,9.63,3:03.74
1,9.35,3:10.12,3,9.52,3:15.74,4,9.46,3:16.31,2,9.71,3:13.46
1,9.35,3:19.47,3,10.00,3:25.74,4,9.77,3:26.09,2,9.61,3:23.07
1,9.33,3:28.81,3,9.99,3:35.73,4,10.02,3:36.11,2,9.57,3:32.65
1,9.67,3:38.48,3,9.78,3:45.51,4,10.33,3:46.45,2,9.90,3:42.55
1,9.62,3:48.11,3,10.13,3:55.65,4,10.27,3:56.72,2,9.86,3:52.41
1,9.76,3:57.88,3,9.81,4:05.47,4,9.96,4:06.69,2,9.82,4:02.23
1,9.39,4:07.27,3,9.72,4:15.19,4,9.74,4:16.43,2,9.88,4:12.12
1,9.56,4:16.829,3,10.05,4:25.236,4,10.34,4:26.767,2,9.78,4:21.899
