Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Ekaterina STRELKOVA POSITION,Ekaterina STRELKOVA LAP TIME,Ekaterina STRELKOVA ELAPSED TIME,KIM Alang POSITION,KIM Alang LAP TIME,KIM Alang ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME
1,13.73,13.73,2,13.87,13.87,3,13.92,13.92,4,14.05,14.05,5,14.15,14.15
1,11.15,24.88,4,11.22,25.09,2,11.05,24.97,3,10.96,25.01,5,11.08,25.23
2,9.89,34.77,4,9.89,34.98,3,9.89,34.86,1,9.63,34.64,5,9.85,35.08
2,9.88,44.65,4,9.85,44.83,3,9.87,44.73,1,9.90,44.54,5,9.85,44.93
4,9.99,54.64,2,9.72,54.55,3,9.86,54.59,1,9.82,54.36,5,9.81,54.74
4,9.81,1:04.45,2,9.70,1:04.25,3,9.75,1:04.34,1,9.79,1:04.15,5,9.85,1:04.59
4,9.75,1:14.20,2,9.78,1:14.03,3,9.84,1:14.18,1,9.83,1:13.98,5,9.79,1:14.38
2,9.43,1:23.63,1,9.50,1:23.53,4,9.90,1:24.08,3,10.08,1:24.06,5,9.78,1:24.16
2,9.73,1:33.361,1,9.75,1:33.281,3,10.01,1:34.098,5,10.66,1:34.726,4,10.10,1:34.260
