Thomas Insuk HONG POSITION,Thomas Insuk HONG LAP TIME,Thomas Insuk HONG ELAPSED TIME,JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,Jack BURROWS POSITION,Jack BURROWS LAP TIME,Jack BURROWS ELAPSED TIME,BLAIS Cedrik POSITION,BLAIS Cedrik LAP TIME,BLAIS Cedrik ELAPSED TIME
3,12.56,12.56,2,12.53,12.53,4,12.74,12.74,1,12.49,12.49
1,9.12,21.68,3,9.25,21.78,4,9.26,22.00,2,9.28,21.77
4,9.56,31.24,2,9.26,31.04,3,9.14,31.14,1,9.15,30.92
4,9.33,40.57,2,9.31,40.35,3,9.35,40.49,1,9.32,40.24
3,9.11,49.68,2,9.22,49.57,4,9.32,49.81,1,9.24,49.48
3,9.19,58.87,2,9.18,58.75,4,9.23,59.04,1,9.18,58.66
3,9.08,1:07.95,2,9.11,1:07.86,4,9.10,1:08.14,1,8.93,1:07.59
3,9.25,1:17.20,2,9.33,1:17.19,4,9.24,1:17.38,1,9.06,1:16.65
2,9.50,1:26.70,3,9.72,1:26.91,4,9.64,1:27.02,1,9.45,1:26.10
