Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,XU Hongzhi POSITION,XU Hongzhi LAP TIME,XU Hongzhi ELAPSED TIME
2,13.83,13.83,4,14.15,14.15,3,13.91,13.91,1,13.63,13.63
2,10.50,24.33,3,10.38,24.53,4,10.64,24.55,1,10.56,24.19
3,9.50,33.83,4,9.51,34.04,2,9.21,33.76,1,9.48,33.67
3,9.12,42.95,4,9.00,43.04,2,9.03,42.79,1,9.03,42.70
3,9.24,52.19,4,9.24,52.28,2,9.29,52.08,1,9.27,51.97
3,9.46,1:01.65,4,9.47,1:01.75,2,9.53,1:01.61,1,9.51,1:01.48
3,9.15,1:10.80,4,9.18,1:10.93,2,9.17,1:10.78,1,9.20,1:10.68
1,9.08,1:19.88,2,9.37,1:20.30,4,36.96,1:47.74,3,31.66,1:42.34
1,9.50,1:29.372,2,9.74,1:30.032,4,17.37,2:05.105,3,17.96,2:00.294
