Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME,Kimberly DERRICK POSITION,Kimberly DERRICK LAP TIME,Kimberly DERRICK ELAPSED TIME,Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME,Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,Mary GRACE POSITION,Mary GRACE LAP TIME,Mary GRACE ELAPSED TIME
4,9.190,9.190,3,9.020,9.020,1,8.860,8.860,2,8.900,8.900,6,9.410,9.410,5,9.240,9.240
4,12.430,21.630,3,12.510,21.540,2,12.600,21.460,1,12.460,21.370,6,12.520,21.930,5,12.610,21.860
4,13.000,34.640,3,13.050,34.590,2,13.000,34.470,1,12.870,34.250,5,12.760,34.700,6,12.970,34.830
4,11.680,46.330,5,11.780,46.380,3,11.620,46.090,1,11.660,45.910,2,11.250,45.950,6,11.740,46.570
4,11.940,58.270,2,11.760,58.140,3,12.060,58.160,1,12.110,58.030,5,12.330,58.280,6,12.000,58.580
5,11.090,1:09.370,1,10.870,1:09.010,3,11.100,1:09.270,2,11.020,1:09.050,4,10.990,1:09.280,6,11.050,1:09.630
3,10.850,1:20.230,2,11.090,1:20.110,5,11.030,1:20.300,1,10.840,1:19.900,4,10.970,1:20.260,6,10.930,1:20.570
4,11.060,1:31.290,1,10.900,1:31.020,5,11.230,1:31.530,2,11.130,1:31.030,3,11.000,1:31.260,6,11.120,1:31.700
3,11.430,1:42.730,2,11.480,1:42.500,5,11.410,1:42.940,1,11.420,1:42.450,4,11.520,1:42.780,6,11.420,1:43.120
4,10.500,1:53.240,1,10.440,1:52.950,5,10.450,1:53.400,2,10.590,1:53.040,3,10.400,1:53.190,6,10.500,1:53.620
3,10.150,2:03.390,2,10.270,2:03.220,5,10.110,2:03.510,1,9.990,2:03.040,4,10.190,2:03.390,6,10.360,2:03.980
3,9.980,2:13.370,2,10.030,2:13.260,5,10.080,2:13.600,1,10.060,2:13.100,4,10.030,2:13.420,6,10.330,2:14.320
4,10.170,2:23.550,2,10.210,2:23.480,5,10.200,2:23.810,1,10.170,2:23.280,3,10.090,2:23.510,6,10.680,2:25.010
2,10.470,2:34.020,6,23.790,2:47.270,4,10.390,2:34.200,1,10.340,2:33.620,3,10.510,2:34.020,5,11.200,2:36.220
