Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME
4,14.50,14.50,2,14.23,14.23,3,14.36,14.36,1,14.14,14.14
3,11.27,25.77,2,11.48,25.71,4,11.59,25.95,1,11.53,25.67
4,10.78,36.55,3,10.70,36.41,1,10.17,36.12,2,10.56,36.23
4,9.83,46.38,3,9.79,46.20,1,9.93,46.05,2,9.90,46.13
4,9.63,56.01,2,9.54,55.74,1,9.57,55.62,3,9.76,55.89
4,9.37,1:05.38,2,9.48,1:05.22,1,9.50,1:05.12,3,9.37,1:05.26
4,9.48,1:14.86,2,9.35,1:14.57,1,9.31,1:14.43,3,9.49,1:14.75
4,9.39,1:24.25,1,9.09,1:23.66,2,9.24,1:23.67,3,9.32,1:24.07
4,9.68,1:33.929,1,9.35,1:33.010,2,9.53,1:33.199,3,9.50,1:33.567
