Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME,Patricia TOTH POSITION,Patricia TOTH LAP TIME,Patricia TOTH ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME
1,11.28,11.28,4,11.81,11.81,6,11.94,11.94,2,11.56,,7,12.10,12.10,5,11.90,11.90,3,11.74,11.74
2,14.52,25.80,5,14.51,26.32,6,14.51,26.45,4,14.51,,7,14.41,26.51,1,13.78,25.68,3,14.15,25.89
2,13.14,38.94,5,13.20,39.52,7,13.19,39.64,4,13.17,,6,13.03,39.54,1,13.13,38.81,3,13.17,39.06
3,12.39,51.33,7,12.23,51.75,2,11.64,51.28,4,12.13,,6,12.04,51.58,1,12.39,51.20,5,12.36,51.42
5,10.41,1:01.74,7,10.27,1:02.02,1,9.95,1:01.23,2,10.01,,6,10.33,1:01.91,3,10.37,1:01.57,4,10.25,1:01.67
6,10.72,1:12.46,3,10.15,1:12.17,1,10.79,1:12.02,2,10.74,,7,10.69,1:12.60,4,10.65,1:12.22,5,10.68,1:12.35
6,10.43,1:22.89,1,10.04,1:22.21,2,10.43,1:22.45,3,10.46,,7,10.32,1:22.92,4,10.46,1:22.68,5,10.43,1:22.78
7,10.27,1:33.16,2,10.49,1:32.70,1,10.16,1:32.61,2,10.12,,6,10.07,1:32.99,5,10.14,1:32.82,4,10.00,1:32.78
7,9.91,1:43.07,4,10.03,1:42.73,2,9.89,1:42.50,3,9.94,,6,9.95,1:42.94,5,9.98,1:42.80,1,9.46,1:42.24
7,9.87,1:52.94,4,9.62,1:52.35,1,9.55,1:52.05,3,9.62,,6,9.92,1:52.86,5,9.66,1:52.46,2,9.84,1:52.08
6,9.96,2:02.90,5,9.89,2:02.24,1,9.82,2:01.87,3,9.81,,7,10.51,2:03.37,4,9.65,2:02.11,2,9.88,2:01.96
6,10.20,2:13.10,5,9.76,2:12.00,1,9.82,2:11.69,4,9.85,,7,11.66,2:15.03,2,9.62,2:11.73,3,9.83,2:11.79
6,10.40,2:23.50,5,9.85,2:21.85,1,9.51,2:21.20,4,9.85,,7,12.48,2:27.51,2,9.58,2:21.31,3,9.64,2:21.43
6,10.61,2:34.11,5,10.20,2:32.05,1,9.72,2:30.92,4,10.09,,7,12.74,2:40.25,2,9.70,2:31.01,3,9.74,2:31.17
