VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,Jana DOMBROVSKAYA POSITION,Jana DOMBROVSKAYA LAP TIME,Jana DOMBROVSKAYA ELAPSED TIME,THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME,HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME,LI Xuan POSITION,LI Xuan LAP TIME,LI Xuan ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,VOLKOVITSKAYA Alyona POSITION,VOLKOVITSKAYA Alyona LAP TIME,VOLKOVITSKAYA Alyona ELAPSED TIME
3,12.33,12.33,6,12.87,12.87,7,13.03,13.03,2,12.13,12.13,5,12.71,12.71,4,12.56,12.56,1,11.56,11.56
3,13.98,26.31,6,13.83,26.70,7,13.82,26.85,2,13.93,26.06,5,13.87,26.58,4,13.90,26.46,1,14.18,25.74
5,13.35,39.66,6,13.17,39.87,7,13.21,40.06,2,13.33,39.39,3,12.95,39.53,4,13.18,39.64,1,13.51,39.25
5,12.51,52.17,6,12.43,52.30,7,12.44,52.50,2,12.25,51.64,3,12.28,51.81,4,12.35,51.99,1,12.25,51.50
5,11.21,1:03.38,6,11.20,1:03.50,7,11.09,1:03.59,2,11.30,1:02.94,3,11.29,1:03.10,4,11.26,1:03.25,1,11.29,1:02.79
5,10.37,1:13.75,6,10.41,1:13.91,7,10.41,1:14.00,2,10.37,1:13.31,3,10.35,1:13.45,4,10.37,1:13.62,1,10.42,1:13.21
5,9.79,1:23.54,7,9.98,1:23.89,6,9.65,1:23.65,2,9.88,1:23.19,3,9.84,1:23.29,4,9.78,1:23.40,1,9.90,1:23.11
5,9.57,1:33.11,7,9.85,1:33.74,6,9.60,1:33.25,1,9.37,1:32.56,2,9.56,1:32.85,4,9.58,1:32.98,3,9.75,1:32.86
4,9.49,1:42.60,7,10.03,1:43.77,6,9.48,1:42.73,2,9.51,1:42.07,1,9.21,1:42.06,3,9.39,1:42.37,5,9.82,1:42.68
4,9.42,1:52.02,7,10.42,1:54.19,5,9.42,1:52.15,2,9.66,1:51.73,1,9.60,1:51.66,3,9.50,1:51.87,6,10.18,1:52.86
3,9.65,2:01.67,7,10.74,2:04.93,5,9.67,2:01.82,1,9.77,2:01.50,2,9.88,2:01.54,3,9.80,2:01.67,6,11.37,2:04.23
3,9.60,2:11.27,6,10.94,2:15.87,5,9.72,2:11.54,1,9.49,2:10.99,2,9.63,2:11.17,4,9.73,2:11.40,7,12.10,2:16.33
3,9.64,2:20.91,6,11.24,2:27.11,5,9.90,2:21.44,1,9.58,2:20.57,2,9.63,2:20.80,4,9.66,2:21.06,7,12.20,2:28.53
3,9.77,2:30.681,6,11.45,2:38.566,5,10.31,2:31.753,1,9.57,2:30.147,2,9.81,2:30.611,4,10.04,2:31.109,7,12.03,2:40.561
