Teppei KIKUCHI POSITION,Teppei KIKUCHI LAP TIME,Teppei KIKUCHI ELAPSED TIME,JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,ARADHYA Akash POSITION,ARADHYA Akash LAP TIME,ARADHYA Akash ELAPSED TIME,Hazim SHAHRUM POSITION,Hazim SHAHRUM LAP TIME,Hazim SHAHRUM ELAPSED TIME
1,7.02,7.02,2,7.15,7.15,3,7.46,7.46,4,7.66,7.66
1,8.99,16.01,2,8.99,16.14,3,9.34,16.80,4,9.58,17.24
1,8.61,24.62,2,8.58,24.72,3,9.07,25.87,4,9.32,26.56
1,8.73,33.35,1,8.63,33.35,3,9.14,35.01,4,9.41,35.97
2,8.93,42.28,1,8.81,42.16,3,9.43,44.44,4,9.51,45.487
