Volodymyr CHERNEGA POSITION,Volodymyr CHERNEGA LAP TIME,Volodymyr CHERNEGA ELAPSED TIME,J P KEPKA POSITION,J P KEPKA LAP TIME,J P KEPKA ELAPSED TIME,Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME
3,7.045,7.045,1,6.674,6.674,4,7.167,7.167,2,7.040,7.040
4,26.859,33.903,1,9.139,15.812,3,9.350,16.517,2,9.471,16.511
4,13.531,47.434,1,8.995,24.807,3,8.814,25.330,2,8.688,25.198
4,11.316,58.750,1,8.990,33.796,3,8.979,34.309,2,8.893,34.091
4,13.67,1:12.415,1,9.21,42.999,3,9.05,43.350,2,8.93,43.015
