LEE June Seo POSITION,LEE June Seo LAP TIME,LEE June Seo ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,KRUZBERGS Roberts POSITION,KRUZBERGS Roberts LAP TIME,KRUZBERGS Roberts ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,AYRAPETYAN Denis POSITION,AYRAPETYAN Denis LAP TIME,AYRAPETYAN Denis ELAPSED TIME
1,12.68,12.68,4,12.94,12.94,5,13.10,13.10,3,12.84,12.84,2,12.77,12.77
1,9.47,22.15,4,9.51,22.45,5,9.44,22.54,3,9.52,22.36,2,9.46,22.23
1,9.40,31.55,4,9.32,31.77,5,9.36,31.90,2,9.28,31.64,3,9.52,31.75
1,9.02,40.57,3,8.96,40.73,5,9.02,40.92,2,9.06,40.70,4,9.02,40.77
1,8.87,49.44,4,9.03,49.76,5,8.93,49.85,2,8.82,49.52,3,8.85,49.62
1,8.90,58.34,4,8.87,58.63,5,8.90,58.75,2,8.90,58.42,3,8.90,58.52
1,8.75,1:07.09,4,8.81,1:07.44,5,8.81,1:07.56,2,8.75,1:07.17,3,8.77,1:07.29
2,8.85,1:15.94,4,8.71,1:16.15,5,8.88,1:16.44,1,8.66,1:15.83,3,8.72,1:16.01
2,8.94,1:24.88,4,9.07,1:25.22,5,9.25,1:25.69,1,8.98,1:24.81,3,8.94,1:24.95
