Georgi ORLOV POSITION,Georgi ORLOV LAP TIME,Georgi ORLOV ELAPSED TIME,Hazar KARAGOL POSITION,Hazar KARAGOL LAP TIME,Hazar KARAGOL ELAPSED TIME,Salvijus RAMANAUSKAS POSITION,Salvijus RAMANAUSKAS LAP TIME,Salvijus RAMANAUSKAS ELAPSED TIME,Stephane BARBERA PERALEDA POSITION,Stephane BARBERA PERALEDA LAP TIME,Stephane BARBERA PERALEDA ELAPSED TIME,KRUZBERGS Karlis POSITION,KRUZBERGS Karlis LAP TIME,KRUZBERGS Karlis ELAPSED TIME,Denali BLUNDEN POSITION,Denali BLUNDEN LAP TIME,Denali BLUNDEN ELAPSED TIME
5,10.93,10.93,6,11.09,11.09,3,10.79,10.79,4,10.88,10.88,2,10.72,10.72,1,10.50,10.50
4,13.78,24.71,6,13.96,25.05,3,13.87,24.66,5,14.00,24.88,2,13.77,24.49,1,13.90,24.40
3,11.03,35.74,5,10.87,35.92,4,11.18,35.84,6,11.08,35.96,2,11.13,35.62,1,11.13,35.53
3,10.97,46.71,5,10.96,46.88,4,10.94,46.78,6,11.07,47.03,2,10.99,46.61,1,10.95,46.48
2,10.72,57.43,5,10.79,57.67,4,10.77,57.55,6,10.86,57.89,3,10.87,57.48,1,10.90,57.38
3,9.98,1:07.41,5,10.03,1:07.70,1,9.57,1:07.12,6,10.04,1:07.93,4,10.01,1:07.49,2,9.95,1:07.33
3,9.66,1:17.07,5,9.46,1:17.16,1,9.74,1:16.86,6,9.74,1:17.67,4,9.66,1:17.15,2,9.66,1:16.99
5,9.98,1:27.05,3,9.66,1:26.82,1,9.70,1:26.56,6,10.02,1:27.69,4,9.76,1:26.91,2,9.73,1:26.72
5,9.70,1:36.75,3,9.63,1:36.45,1,9.64,1:36.20,6,10.42,1:38.11,4,9.64,1:36.55,2,9.66,1:36.38
5,9.62,1:46.37,3,9.57,1:46.02,1,9.60,1:45.80,6,10.92,1:49.03,4,9.51,1:46.06,2,9.52,1:45.90
5,9.91,1:56.28,4,9.83,1:55.85,1,9.66,1:55.46,6,11.32,2:00.35,2,9.47,1:55.53,3,9.68,1:55.58
5,10.19,2:06.47,4,10.35,2:06.20,3,10.04,2:05.50,6,12.11,2:12.46,1,9.49,2:05.02,2,9.77,2:05.35
5,10.65,2:17.12,4,10.86,2:17.06,3,10.01,2:15.51,6,13.97,2:26.43,1,10.00,2:15.02,2,9.85,2:15.20
6,29.08,2:46.20,4,12.62,2:29.68,3,10.41,2:25.902,5,12.35,2:38.78,1,10.26,2:25.264,2,10.24,2:25.414
