LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Alex BOISVERT-LACROIX POSITION,Alex BOISVERT-LACROIX LAP TIME,Alex BOISVERT-LACROIX ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Vitali BAZYLENKO POSITION,Vitali BAZYLENKO LAP TIME,Vitali BAZYLENKO ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,Jeremy BECK POSITION,Jeremy BECK LAP TIME,Jeremy BECK ELAPSED TIME
3,8.720,8.720,2,8.710,8.710,5,9.590,9.590,6,10.190,10.190,4,8.770,8.770,1,8.470,8.470
2,11.160,19.890,4,11.550,20.270,5,10.760,20.350,6,10.260,20.460,3,11.270,20.040,1,10.900,19.370
5,10.570,30.460,3,9.980,30.260,2,9.840,30.190,4,9.880,30.340,6,10.480,30.530,1,10.650,30.030
4,10.160,40.630,6,10.510,40.770,3,10.420,40.620,5,10.360,40.700,2,10.060,40.590,1,10.130,40.170
2,10.150,50.790,4,10.470,51.250,6,10.950,51.570,3,10.440,51.150,5,10.850,51.440,1,10.560,50.730
2,10.640,1:01.430,3,10.450,1:01.700,6,10.400,1:01.980,4,10.580,1:01.730,5,10.450,1:01.890,1,10.550,1:01.280
2,10.670,1:12.110,5,10.840,1:12.550,3,10.420,1:12.400,4,10.730,1:12.470,6,10.800,1:12.700,1,10.630,1:11.920
2,10.200,1:22.320,3,9.840,1:22.390,5,10.450,1:22.860,6,10.490,1:22.970,4,9.730,1:22.430,1,10.090,1:22.010
2,9.440,1:31.760,3,9.570,1:31.960,5,9.270,1:32.130,6,9.330,1:32.310,4,9.530,1:31.970,1,9.570,1:31.590
1,9.400,1:41.160,3,9.370,1:41.330,6,10.840,1:42.980,5,10.390,1:42.700,4,9.750,1:41.730,2,9.680,1:41.270
3,9.840,1:51.000,4,9.720,1:51.060,6,8.470,1:51.450,5,8.440,1:51.140,2,9.230,1:50.960,1,9.680,1:50.960
2,9.280,2:00.290,3,9.330,2:00.390,1,8.770,2:00.220,6,12.870,2:04.020,5,9.480,2:00.450,4,9.470,2:00.430
1,9.450,2:09.750,2,9.680,2:10.080,5,13.290,2:13.510,6,11.860,2:15.880,3,9.770,2:10.230,4,9.810,2:10.250
1,9.710,2:19.460,2,9.730,2:19.820,5,11.640,2:25.160,6,12.620,2:28.500,3,9.650,2:19.880,4,9.640,2:19.890
