Balazs KOVER POSITION,Balazs KOVER LAP TIME,Balazs KOVER ELAPSED TIME,Sergei KASTOV POSITION,Sergei KASTOV LAP TIME,Sergei KASTOV ELAPSED TIME,Andre HARTWIG POSITION,Andre HARTWIG LAP TIME,Andre HARTWIG ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Nikolay FEDORENKO POSITION,Nikolay FEDORENKO LAP TIME,Nikolay FEDORENKO ELAPSED TIME
3,10.444,10.444,2,10.354,10.354,4,10.486,10.486,5,10.490,10.490,6,10.520,10.520,1,10.349,10.349
4,11.928,22.371,1,11.668,22.022,3,11.821,22.306,5,11.972,22.461,6,12.123,22.643,2,11.716,22.064
4,11.213,33.584,1,11.030,33.051,3,11.234,33.539,5,11.167,33.628,6,11.119,33.761,2,11.275,33.339
3,11.345,44.929,1,11.529,44.579,4,11.493,45.032,5,11.480,45.107,6,11.586,45.347,2,11.433,44.772
5,11.422,56.351,1,11.369,55.948,3,11.159,56.190,4,11.169,56.276,6,11.123,56.470,2,11.238,56.009
6,10.911,1:07.261,1,10.946,1:06.893,5,11.007,1:07.197,4,10.872,1:07.148,2,10.559,1:07.028,3,11.100,1:07.108
6,10.236,1:17.496,4,10.361,1:17.254,2,9.917,1:17.114,3,10.082,1:17.229,1,9.956,1:16.983,5,10.225,1:17.333
6,10.026,1:27.522,5,10.057,1:27.311,3,10.045,1:27.159,1,9.676,1:26.904,2,10.007,1:26.990,4,9.953,1:27.286
6,10.150,1:37.672,5,10.273,1:37.584,3,10.155,1:37.314,1,9.995,1:36.899,2,10.096,1:37.086,4,10.128,1:37.414
5,10.101,1:47.772,6,26.867,2:04.451,3,9.964,1:47.278,2,10.092,1:46.990,1,9.884,1:46.970,4,10.042,1:47.455
5,10.040,1:57.812,6,15.201,2:19.651,3,9.823,1:57.100,1,9.731,1:56.721,2,9.959,1:56.928,4,9.758,1:57.213
5,10.544,2:08.356,6,12.109,2:31.759,3,9.964,2:07.064,1,10.057,2:06.778,2,10.087,2:07.015,4,10.091,2:07.303
5,10.810,2:19.165,6,11.501,2:43.260,3,9.895,2:16.958,1,9.776,2:16.553,2,9.763,2:16.778,4,9.893,2:17.196
5,11.85,2:31.010,6,11.77,2:55.022,3,10.02,2:26.978,1,9.73,2:26.281,2,9.58,2:26.358,4,9.89,2:27.077
