Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME
4,14.25,14.25,2,13.79,13.79,1,13.78,13.78,3,14.22,14.22
4,9.70,23.96,1,9.88,23.67,2,9.96,23.75,3,9.67,23.89
4,10.07,34.03,1,9.95,33.63,2,9.97,33.72,3,9.87,33.77
3,9.43,43.47,2,9.51,43.14,1,9.29,43.01,4,10.01,43.78
4,9.79,53.27,2,9.83,52.97,1,9.67,52.68,3,9.43,53.22
3,9.61,1:02.88,2,9.68,1:02.65,1,9.62,1:02.31,4,9.83,1:03.05
3,9.25,1:12.13,2,9.32,1:11.98,1,9.56,1:11.88,4,9.14,1:12.20
3,8.96,1:21.09,2,8.97,1:20.95,1,8.84,1:20.72,4,9.13,1:21.33
2,9.29,1:30.374,3,9.53,1:30.476,4,33.20,1:53.917,1,8.96,1:30.283
