LEE Eun Byul POSITION,LEE Eun Byul LAP TIME,LEE Eun Byul ELAPSED TIME,Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME,Liesbeth MAU ASAM POSITION,Liesbeth MAU ASAM LAP TIME,Liesbeth MAU ASAM ELAPSED TIME,Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME
3,14.67,14.67,1,14.42,14.42,2,14.49,14.49,4,14.80,14.80
3,11.25,25.92,1,11.25,25.67,2,11.29,25.78,4,11.51,26.31
3,10.11,36.03,1,10.04,35.71,2,10.18,35.96,4,9.88,36.19
4,10.69,46.72,1,10.52,46.23,2,10.57,46.53,3,10.43,46.62
3,10.03,56.75,1,10.14,56.37,2,10.13,56.66,4,10.39,57.01
2,9.60,1:06.35,1,9.84,1:06.21,3,10.02,1:06.68,4,9.86,1:06.87
2,9.67,1:16.02,1,9.62,1:15.83,3,9.55,1:16.23,4,9.64,1:16.51
2,9.50,1:25.52,1,9.62,1:25.45,3,9.69,1:25.92,4,10.27,1:26.78
1,9.81,1:35.329,2,10.13,1:35.575,3,9.83,1:35.746,4,10.48,1:37.260
