BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME
2,15.81,15.81,4,16.09,16.09,3,15.86,15.86,1,15.73,15.73
3,12.18,27.99,1,11.62,27.71,4,12.24,28.10,2,12.12,27.85
3,11.17,39.16,2,11.35,39.06,4,11.14,39.24,1,11.13,38.98
4,10.86,50.02,3,10.76,49.82,1,10.24,49.48,2,10.64,49.62
4,9.98,1:00.00,3,10.04,59.86,1,10.13,59.61,2,10.13,59.75
4,10.02,1:10.02,3,10.03,1:09.89,1,10.05,1:09.66,2,10.02,1:09.77
4,9.60,1:19.62,3,9.56,1:19.45,2,9.64,1:19.30,1,9.40,1:19.17
4,9.40,1:29.02,3,9.47,1:28.92,2,9.52,1:28.82,1,9.54,1:28.71
3,9.69,1:38.71,4,9.96,1:38.88,2,9.83,1:38.65,1,9.78,1:38.49
