Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,LIU Xianwei POSITION,LIU Xianwei LAP TIME,LIU Xianwei ELAPSED TIME,Adam FILIPOWICZ POSITION,Adam FILIPOWICZ LAP TIME,Adam FILIPOWICZ ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,Artur SULTANGALIYEV POSITION,Artur SULTANGALIYEV LAP TIME,Artur SULTANGALIYEV ELAPSED TIME
3,10.01,10.01,1,9.94,9.94,2,9.98,9.98,4,10.04,10.04,5,10.06,10.06
1,13.25,23.26,2,13.45,23.39,3,13.56,23.54,5,13.77,23.81,4,13.57,23.63
1,12.06,35.32,4,12.25,35.64,3,12.07,35.61,2,11.70,35.51,5,12.31,35.94
1,11.40,46.72,3,11.21,46.85,4,11.27,46.88,2,11.23,46.74,5,11.09,47.03
1,11.34,58.06,2,11.32,58.17,5,11.46,58.34,3,11.44,58.18,4,11.17,58.20
1,11.00,1:09.06,3,10.94,1:09.11,5,10.92,1:09.26,2,10.92,1:09.10,4,11.03,1:09.23
1,10.13,1:19.19,2,10.23,1:19.34,3,10.14,1:19.40,4,10.61,1:19.71,5,10.58,1:19.81
1,10.35,1:29.54,2,10.20,1:29.54,3,10.32,1:29.72,5,10.34,1:30.05,4,9.91,1:29.72
1,9.68,1:39.22,3,10.11,1:39.65,4,10.03,1:39.75,5,9.87,1:39.92,2,9.89,1:39.61
1,9.68,1:48.90,2,9.66,1:49.31,4,9.64,1:49.39,5,9.96,1:49.88,3,9.71,1:49.32
1,9.70,1:58.60,2,9.53,1:58.84,4,9.72,1:59.11,5,9.90,1:59.78,3,9.68,1:59.00
1,9.63,2:08.23,2,9.53,2:08.37,3,9.83,2:08.94,5,10.33,2:10.11,4,9.94,2:08.94
1,9.39,2:17.62,2,9.52,2:17.89,3,10.18,2:19.12,5,11.03,2:21.14,4,10.25,2:19.19
1,9.79,2:27.401,2,9.61,2:27.496,3,10.18,2:29.296,5,11.44,2:32.574,4,10.61,2:29.796
