WATANABE Aoi POSITION,WATANABE Aoi LAP TIME,WATANABE Aoi ELAPSED TIME,SIGHEL Arianna POSITION,SIGHEL Arianna LAP TIME,SIGHEL Arianna ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,GUO Yihan POSITION,GUO Yihan LAP TIME,GUO Yihan ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME
1,13.23,13.23,3,13.46,13.46,5,13.73,13.73,2,13.34,13.34,4,13.59,13.59
1,9.98,23.21,4,9.97,23.43,5,9.92,23.65,2,9.99,23.33,3,9.83,23.42
1,9.92,33.13,4,9.98,33.41,5,9.89,33.54,2,9.91,33.24,3,9.91,33.33
1,9.97,43.10,4,10.02,43.43,5,10.05,43.59,2,9.96,43.20,3,9.98,43.31
1,9.90,53.00,5,9.82,53.25,4,9.65,53.24,2,9.88,53.08,3,9.87,53.18
1,9.67,1:02.67,5,10.05,1:03.30,3,9.79,1:03.03,2,9.70,1:02.78,4,9.99,1:03.17
2,9.94,1:12.61,5,9.71,1:13.01,3,9.64,1:12.67,1,9.57,1:12.35,4,9.69,1:12.86
2,9.82,1:22.43,5,9.75,1:22.76,3,9.87,1:22.54,1,9.67,1:22.02,4,9.80,1:22.66
2,9.98,1:32.379,4,9.93,1:32.680,3,10.02,1:32.551,1,10.03,1:32.026,5,10.23,1:32.870
