YANG Shin-Young POSITION,YANG Shin-Young LAP TIME,YANG Shin-Young ELAPSED TIME,Lana GEHRING POSITION,Lana GEHRING LAP TIME,Lana GEHRING ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME
1,14.98,14.98,3,15.37,15.37,2,15.09,15.09,4,15.52,15.52
1,12.45,27.43,3,12.39,27.77,2,12.39,27.49,4,12.35,27.87
2,11.14,38.57,1,10.49,38.26,3,11.13,38.62,4,10.86,38.74
3,9.83,48.41,1,9.93,48.19,2,9.67,48.30,4,9.74,48.49
2,9.95,58.36,1,10.11,58.31,3,10.10,58.40,4,10.19,58.68
1,9.70,1:08.07,2,9.85,1:08.16,3,9.90,1:08.31,4,9.78,1:08.46
1,9.46,1:17.54,3,9.64,1:17.81,2,9.48,1:17.80,4,10.23,1:18.70
1,9.55,1:27.09,2,9.67,1:27.48,3,9.70,1:27.50,4,11.00,1:29.70
1,10.04,1:37.122,2,9.83,1:37.307,3,10.46,1:37.951,4,11.60,1:41.291
