ANDERMANN Dominic POSITION,ANDERMANN Dominic LAP TIME,ANDERMANN Dominic ELAPSED TIME,SITNIKOV Pavel POSITION,SITNIKOV Pavel LAP TIME,SITNIKOV Pavel ELAPSED TIME,Cole William Isaac KRUEGER POSITION,Cole William Isaac KRUEGER LAP TIME,Cole William Isaac KRUEGER ELAPSED TIME,LUEDTKE Adrian POSITION,LUEDTKE Adrian LAP TIME,LUEDTKE Adrian ELAPSED TIME,FAJKUS Radek POSITION,FAJKUS Radek LAP TIME,FAJKUS Radek ELAPSED TIME
3,7.18,7.18,1,6.90,6.90,4,7.22,7.22,2,7.17,7.17,5,7.37,7.37
5,9.37,16.55,1,9.00,15.90,3,9.09,16.31,2,8.90,16.07,4,9.04,16.41
5,8.70,25.25,1,8.51,24.41,3,8.56,24.87,2,8.49,24.56,4,8.59,25.00
5,14.17,39.42,1,8.77,33.18,3,8.60,33.47,2,8.69,33.25,4,8.71,33.71
5,19.81,59.23,1,8.93,42.11,3,8.77,42.24,2,8.89,42.14,4,8.94,42.65
