Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME
1,7.04,7.04,3,7.31,7.31,2,7.14,7.14,4,7.41,7.41
1,9.25,16.29,3,9.20,16.51,2,9.28,16.42,4,9.25,16.66
1,8.85,25.14,2,8.72,25.23,3,8.89,25.31,4,8.78,25.44
2,8.92,34.06,1,8.76,33.99,3,8.87,34.18,4,8.86,34.30
2,9.17,43.223,1,9.07,43.051,3,9.14,43.318,4,9.13,43.429
