Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,ZHAO Nannan POSITION,ZHAO Nannan LAP TIME,ZHAO Nannan ELAPSED TIME,CHOI Jung-Won POSITION,CHOI Jung-Won LAP TIME,CHOI Jung-Won ELAPSED TIME,Kasandra BRADETTE POSITION,Kasandra BRADETTE LAP TIME,Kasandra BRADETTE ELAPSED TIME,Kristina VUTEVA POSITION,Kristina VUTEVA LAP TIME,Kristina VUTEVA ELAPSED TIME
1,7.36,7.36,2,7.45,7.45,4,7.73,7.73,3,7.52,7.52,5,8.44,8.44
1,9.71,17.07,3,9.73,17.18,4,9.70,17.43,2,9.56,17.08,5,10.07,18.51
2,9.31,26.38,3,9.29,26.47,4,9.18,26.61,1,9.18,26.26,5,9.87,28.38
3,9.23,35.61,2,9.13,35.60,4,9.10,35.71,1,9.29,35.55,5,10.02,38.40
3,9.67,45.280,2,9.51,45.108,4,10.06,45.767,1,9.51,45.052,5,10.55,48.941
