Gabor GALAMBOS POSITION,Gabor GALAMBOS LAP TIME,Gabor GALAMBOS ELAPSED TIME,Gregory DURAND POSITION,Gregory DURAND LAP TIME,Gregory DURAND ELAPSED TIME,Adam FILIPOWICZ POSITION,Adam FILIPOWICZ LAP TIME,Adam FILIPOWICZ ELAPSED TIME,Andre PULEC POSITION,Andre PULEC LAP TIME,Andre PULEC ELAPSED TIME,Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME
1,9.16,9.16,2,9.54,9.54,3,9.58,9.58,4,9.78,9.78,5,9.89,9.89
1,14.92,24.08,3,14.86,24.40,2,14.73,24.32,4,14.64,24.43,5,14.86,24.75
1,14.71,38.80,4,14.62,39.03,3,14.71,39.03,2,14.51,38.95,5,14.60,39.36
3,12.38,51.18,1,11.96,50.99,5,26.47,1:05.50,2,12.12,51.07,4,12.12,51.48
3,11.39,1:02.57,1,11.38,1:02.37,5,11.49,1:17.00,2,11.40,1:02.48,4,11.40,1:02.88
3,11.51,1:14.09,1,11.52,1:13.90,5,10.15,1:27.15,2,11.53,1:14.01,4,11.37,1:14.26
3,11.49,1:25.58,1,11.45,1:25.35,5,10.07,1:37.22,2,11.37,1:25.39,4,11.44,1:25.71
4,11.73,1:37.31,1,10.76,1:36.12,5,10.77,1:48.00,2,10.83,1:36.22,3,10.75,1:36.46
3,9.16,1:46.48,2,10.27,1:46.39,5,11.12,1:59.12,1,10.11,1:46.34,4,10.14,1:46.61
2,9.92,1:56.40,1,9.96,1:56.36,5,11.44,2:10.57,3,10.08,1:56.42,4,9.99,1:56.60
3,9.96,2:06.37,1,9.82,2:06.18,5,12.01,2:22.59,2,9.90,2:06.33,4,9.96,2:06.56
1,9.04,2:15.42,2,9.62,2:15.81,5,13.58,2:36.18,3,9.54,2:15.87,4,9.67,2:16.24
1,9.28,2:24.70,3,9.62,2:25.43,5,12.68,2:48.86,2,9.44,2:25.32,4,9.90,2:26.14
1,9.66,2:34.353,3,9.88,2:35.309,5,11.87,3:00.727,2,9.63,2:34.949,4,11.03,2:37.163
