Jose Ignacio FAZIO POSITION,Jose Ignacio FAZIO LAP TIME,Jose Ignacio FAZIO ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Nathaniel HENRY POSITION,Nathaniel HENRY LAP TIME,Nathaniel HENRY ELAPSED TIME
1,12.91,12.91,3,13.10,13.10,2,13.03,13.03,4,13.19,13.19
1,10.39,23.30,3,10.46,23.56,2,10.39,23.42,4,10.48,23.67
3,10.61,33.91,2,10.31,33.87,1,10.16,33.58,4,10.31,33.98
4,10.43,44.34,2,9.99,43.86,1,10.16,43.74,3,9.99,43.97
4,10.69,55.03,2,10.06,53.92,1,10.06,53.80,3,10.08,54.05
4,11.07,1:06.10,1,9.64,1:03.56,2,9.77,1:03.57,3,9.66,1:03.71
4,11.63,1:17.73,1,8.96,1:12.52,2,9.28,1:12.85,3,9.23,1:12.94
4,11.88,1:29.61,1,9.03,1:21.55,2,9.32,1:22.17,3,9.23,1:22.17
4,12.45,1:42.052,1,9.60,1:31.150,2,9.33,1:31.494,3,9.49,1:31.652
