Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME,Ylenia TOTA POSITION,Ylenia TOTA LAP TIME,Ylenia TOTA ELAPSED TIME,Olena KORINCHUK POSITION,Olena KORINCHUK LAP TIME,Olena KORINCHUK ELAPSED TIME,THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME
3,9.19,9.19,5,9.47,9.47,4,9.35,9.35,1,8.87,8.87,2,9.05,9.05
3,12.26,21.45,5,12.21,21.68,4,12.24,21.59,1,12.31,21.18,2,12.24,21.29
4,11.72,33.17,2,11.37,33.05,5,11.64,33.23,1,11.75,32.93,3,11.77,33.06
4,11.03,44.20,1,10.79,43.84,5,11.11,44.34,2,11.02,43.95,3,10.98,44.04
4,11.06,55.26,1,11.13,54.97,5,11.03,55.37,2,11.11,55.06,3,11.12,55.16
4,11.03,1:06.29,1,11.00,1:05.97,5,10.96,1:06.33,2,11.02,1:06.08,3,11.04,1:06.20
5,10.85,1:17.14,1,10.88,1:16.85,2,10.56,1:16.89,3,10.88,1:16.96,4,10.77,1:16.97
5,10.65,1:27.79,1,10.45,1:27.30,2,10.49,1:27.38,4,10.71,1:27.67,3,10.53,1:27.50
5,10.41,1:38.20,1,10.50,1:37.80,2,10.50,1:37.88,4,10.44,1:38.11,3,10.50,1:38.00
5,10.49,1:48.69,1,10.48,1:48.28,2,10.49,1:48.37,4,10.52,1:48.63,3,10.49,1:48.49
3,10.18,1:58.87,1,10.40,1:58.68,2,10.39,1:58.76,5,10.43,1:59.06,4,10.46,1:58.95
1,10.01,2:08.88,2,10.22,2:08.90,3,10.21,2:08.97,5,10.46,2:09.52,4,10.30,2:09.25
1,9.89,2:18.77,3,10.31,2:19.21,2,10.06,2:19.03,5,10.96,2:20.48,4,10.57,2:19.82
1,10.37,2:29.138,3,10.41,2:29.620,2,10.26,2:29.282,5,11.58,2:32.057,4,11.10,2:30.919
