Roberts ZVEJNIEKS POSITION,Roberts ZVEJNIEKS LAP TIME,Roberts ZVEJNIEKS ELAPSED TIME,Jack BURROWS POSITION,Jack BURROWS LAP TIME,Jack BURROWS ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Kei SAITO POSITION,Kei SAITO LAP TIME,Kei SAITO ELAPSED TIME,HOOGERWERF Dylan POSITION,HOOGERWERF Dylan LAP TIME,HOOGERWERF Dylan ELAPSED TIME,Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME
1,6.76,6.76,3,7.12,7.12,2,6.89,6.89,4,7.19,7.19,5,7.32,7.32,6,7.55,7.55
1,8.80,15.56,3,8.85,15.97,2,8.78,15.67,4,8.92,16.11,5,8.83,16.15,6,8.91,16.46
2,8.61,24.17,3,8.36,24.33,1,8.42,24.09,5,8.48,24.59,4,8.31,24.46,6,8.47,24.93
3,8.68,32.85,4,8.54,32.87,1,8.54,32.63,5,8.63,33.22,2,8.29,32.75,6,8.58,33.51
3,8.68,41.538,4,8.95,41.826,1,8.65,41.281,5,8.85,42.079,2,8.68,41.438,6,8.70,42.216
