Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Pavel RYBAKOV POSITION,Pavel RYBAKOV LAP TIME,Pavel RYBAKOV ELAPSED TIME,Kyle CARR POSITION,Kyle CARR LAP TIME,Kyle CARR ELAPSED TIME,Edoardo REGGIANI POSITION,Edoardo REGGIANI LAP TIME,Edoardo REGGIANI ELAPSED TIME
2,7.02,7.02,1,6.88,6.88,3,7.17,7.17,4,7.28,7.28
2,9.21,16.23,1,9.27,16.15,3,9.21,16.38,4,9.16,16.44
1,8.85,25.08,4,9.47,25.62,2,8.86,25.24,3,8.83,25.27
1,8.75,33.83,4,9.07,34.69,3,8.97,34.21,2,8.89,34.16
1,8.98,42.809,2,9.41,44.097,3,30.64,1:04.842,0,,PEN
