LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Takayuki MURATAKE POSITION,Takayuki MURATAKE LAP TIME,Takayuki MURATAKE ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,EYBOG Daniil POSITION,EYBOG Daniil LAP TIME,EYBOG Daniil ELAPSED TIME
1,10.06,10.06,2,10.20,10.20,4,10.33,10.33,5,10.47,10.47,3,10.29,10.29,6,10.61,10.61
1,14.48,24.54,2,14.36,24.56,4,14.49,24.82,5,14.48,24.95,3,14.36,24.65,6,14.51,25.12
3,12.68,37.22,1,12.55,37.11,4,12.46,37.28,5,12.56,37.51,2,12.55,37.20,6,12.53,37.65
3,10.85,48.07,4,11.10,48.21,1,10.63,47.91,5,10.86,48.37,2,10.79,47.99,6,10.83,48.48
5,10.78,58.85,6,10.78,58.99,2,10.58,58.49,1,9.99,58.36,3,10.65,58.64,4,10.26,58.74
1,9.56,1:08.41,5,9.81,1:08.80,3,10.12,1:08.61,2,10.17,1:08.53,4,10.11,1:08.75,6,10.10,1:08.84
2,9.72,1:18.13,1,9.25,1:18.05,4,9.70,1:18.31,3,9.69,1:18.22,5,9.67,1:18.42,6,9.65,1:18.49
3,9.83,1:27.96,1,9.83,1:27.88,4,9.77,1:28.08,2,9.70,1:27.92,5,9.75,1:28.17,6,9.80,1:28.29
3,9.17,1:37.13,2,9.18,1:37.06,4,9.18,1:37.26,1,9.03,1:36.95,5,9.22,1:37.39,6,9.20,1:37.49
3,9.05,1:46.18,2,9.04,1:46.10,4,9.07,1:46.33,1,9.07,1:46.02,6,9.06,1:46.45,5,8.94,1:46.43
2,8.84,1:55.02,3,9.00,1:55.10,4,8.91,1:55.24,1,8.92,1:54.94,6,9.13,1:55.58,5,8.89,1:55.32
2,8.85,2:03.87,3,8.88,2:03.98,6,21.66,2:16.90,1,8.86,2:03.80,5,9.63,2:05.21,4,8.92,2:04.24
2,8.95,2:12.82,3,8.94,2:12.92,6,13.43,2:30.33,1,8.91,2:12.71,5,10.80,2:16.01,4,8.98,2:13.22
2,9.04,2:21.855,3,9.06,2:21.976,0,,notime,1,9.07,2:21.779,5,12.51,2:28.512,4,9.30,2:22.511
