HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME
1,12.65,12.65,3,12.87,12.87,2,12.78,12.78,4,13.02,13.02
1,9.64,22.29,3,9.59,22.46,2,9.59,22.37,4,9.58,22.60
1,9.41,31.70,4,9.46,31.92,2,9.35,31.72,3,9.26,31.86
1,9.39,41.09,4,9.34,41.26,2,9.39,41.11,3,9.33,41.19
1,8.91,50.00,4,9.16,50.42,2,9.05,50.16,3,9.03,50.22
1,8.94,58.94,3,8.70,59.12,4,9.82,59.98,2,8.89,59.11
1,8.82,1:07.76,3,8.91,1:08.03,4,10.00,1:09.98,2,8.80,1:07.91
2,8.93,1:16.69,4,17.81,1:25.84,3,10.35,1:20.33,1,8.77,1:16.68
1,9.07,1:25.760,2,,1:25.827,3,10.88,1:31.204,0,,PEN
