NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME
2,7.13,7.13,1,6.91,6.91,3,7.25,7.25,4,7.35,7.35
2,9.06,16.19,1,9.10,16.01,3,9.02,16.27,4,9.11,16.46
2,8.52,24.71,1,8.61,24.62,3,8.66,24.93,4,8.58,25.04
2,8.72,33.43,1,8.75,33.37,4,33.70,58.63,3,8.97,34.01
1,8.74,42.161,2,8.94,42.308,4,16.21,1:14.837,3,9.14,43.142
