Selma POUTSMA POSITION,Selma POUTSMA LAP TIME,Selma POUTSMA ELAPSED TIME,YIN Qi POSITION,YIN Qi LAP TIME,YIN Qi ELAPSED TIME,YAKIMOVA Anna POSITION,YAKIMOVA Anna LAP TIME,YAKIMOVA Anna ELAPSED TIME,MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME
1,7.53,7.53,3,7.98,,4,8.12,8.12,2,7.70,7.70
1,9.70,17.23,3,9.56,,4,10.04,18.16,2,9.61,17.31
1,9.32,26.55,3,9.09,,4,9.48,27.64,2,9.25,26.56
2,9.40,35.95,3,9.40,,4,9.61,37.25,1,9.33,35.89
3,16.02,51.97,4,24.83,,1,9.90,47.15,2,15.34,51.23
