Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,Charles Ryan LEVEILLE POSITION,Charles Ryan LEVEILLE LAP TIME,Charles Ryan LEVEILLE ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME
2,13.030,13.030,3,13.182,13.182,4,13.198,13.198,1,13.011,13.011
2,10.030,23.060,4,9.997,23.179,3,9.967,23.165,1,9.947,22.958
2,9.608,32.669,3,9.590,32.769,4,9.634,32.799,1,9.581,32.539
1,9.196,41.864,4,9.421,42.190,3,9.338,42.136,2,9.352,41.891
2,9.455,51.319,3,9.309,51.499,1,9.133,51.269,4,9.804,51.694
1,9.012,1:00.332,3,9.112,1:00.611,2,9.141,1:00.410,4,9.487,1:01.181
2,9.294,1:09.625,3,9.038,1:09.649,1,9.109,1:09.519,4,9.938,1:11.119
3,9.422,1:19.047,2,9.256,1:18.905,1,8.925,1:18.444,4,10.079,1:21.198
1,9.886,1:28.933,2,10.283,1:29.188,0,,,3,10.675,1:31.873
