Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Jonathan GUILMETTE POSITION,Jonathan GUILMETTE LAP TIME,Jonathan GUILMETTE ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME
1,7.006,7.006,3,7.130,7.130,2,7.040,7.040,4,7.630,7.630
1,9.274,16.279,2,9.221,16.350,3,9.574,16.613,4,9.391,17.020
2,8.980,25.258,1,8.665,25.015,3,8.744,25.357,4,8.683,25.703
4,9.513,34.771,1,9.273,34.288,2,9.206,34.562,3,9.034,34.737
4,9.66,44.428,1,9.52,43.806,2,9.28,43.839,3,9.27,43.999
