SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,AYRAPETYAN Denis POSITION,AYRAPETYAN Denis LAP TIME,AYRAPETYAN Denis ELAPSED TIME,NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME
5,12.78,12.78,1,12.46,,2,12.56,,4,12.69,12.69,3,12.66,12.66
5,9.19,21.97,1,9.16,,3,9.23,,4,9.20,21.89,2,8.99,21.65
5,9.04,31.01,2,9.16,,3,9.02,,4,9.08,30.97,1,9.01,30.66
1,8.81,39.82,5,28.43,,4,9.39,,2,9.03,40.00,3,9.38,40.04
1,9.18,49.00,5,17.34,,3,8.98,,2,9.08,49.08,4,9.15,49.19
1,9.07,58.07,5,12.17,,3,9.12,,2,9.09,58.17,4,9.22,58.41
1,9.09,1:07.16,5,11.60,,3,9.06,,2,9.08,1:07.25,4,9.09,1:07.50
1,9.13,1:16.29,5,11.55,,3,9.09,,2,9.13,1:16.38,4,9.14,1:16.64
1,9.29,1:25.583,5,11.10,,3,9.55,,2,9.55,1:25.934,3,9.41,1:26.057
