Takayuki MURATAKE POSITION,Takayuki MURATAKE LAP TIME,Takayuki MURATAKE ELAPSED TIME,Eduard STRELKOV POSITION,Eduard STRELKOV LAP TIME,Eduard STRELKOV ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,Viktor KOROLOV POSITION,Viktor KOROLOV LAP TIME,Viktor KOROLOV ELAPSED TIME
3,13.51,13.51,1,13.40,13.40,2,13.47,13.47,4,13.57,13.57
4,10.56,24.07,2,10.51,23.91,1,10.36,23.83,3,10.45,24.02
1,9.21,33.28,3,9.54,33.45,2,9.55,33.38,4,9.57,33.59
1,9.49,42.77,2,9.57,43.02,3,9.76,43.14,4,9.67,43.26
2,9.53,52.30,1,9.16,52.18,3,9.23,52.37,4,9.25,52.51
2,9.01,1:01.31,1,9.02,1:01.20,3,9.10,1:01.47,4,9.11,1:01.62
2,8.94,1:10.25,1,8.96,1:10.16,3,9.00,1:10.47,4,9.38,1:11.00
2,9.06,1:19.31,1,9.03,1:19.19,3,9.28,1:19.75,4,9.93,1:20.93
2,9.30,1:28.609,1,9.34,1:28.522,3,9.81,1:29.560,4,10.39,1:31.316
