CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME
1,8.88,8.88,4,9.16,9.16,3,8.97,8.97,6,9.52,9.52,5,9.34,9.34,2,8.97,8.97
2,12.47,21.35,1,12.10,21.26,3,12.69,21.66,6,12.34,21.86,5,12.39,21.73,4,12.71,21.68
1,9.95,31.30,3,10.28,31.54,6,10.26,31.92,5,10.02,31.88,2,9.69,31.42,4,9.91,31.59
1,10.57,41.87,2,10.36,41.90,5,10.26,42.18,6,10.38,42.26,3,10.64,42.06,4,10.50,42.09
1,9.89,51.76,2,9.95,51.85,4,9.76,51.94,6,10.05,52.31,5,10.05,52.11,3,9.77,51.86
1,9.75,1:01.51,4,9.98,1:01.83,2,9.73,1:01.67,5,9.80,1:02.11,6,10.02,1:02.13,3,9.92,1:01.78
1,10.12,1:11.63,3,9.99,1:11.82,2,10.13,1:11.80,5,10.19,1:12.30,6,10.22,1:12.35,4,10.19,1:11.97
1,10.41,1:22.04,4,10.58,1:22.40,2,10.38,1:22.18,5,10.15,1:22.45,6,10.27,1:22.62,3,10.39,1:22.36
1,9.97,1:32.01,4,10.03,1:32.43,2,9.97,1:32.15,5,10.06,1:32.51,6,9.99,1:32.61,3,9.86,1:32.22
2,9.65,1:41.66,5,9.64,1:42.07,1,9.49,1:41.64,4,9.54,1:42.05,6,9.64,1:42.25,3,9.49,1:41.71
3,9.50,1:51.16,6,9.50,1:51.57,2,9.49,1:51.13,5,9.40,1:51.45,4,9.16,1:51.41,1,9.39,1:51.10
1,9.29,2:00.45,6,9.53,2:01.10,2,9.34,2:00.47,4,9.53,2:00.98,3,9.41,2:00.82,5,9.90,2:01.00
1,9.49,2:09.94,5,9.49,2:10.59,2,9.58,2:10.05,4,9.43,2:10.41,3,9.41,2:10.23,6,10.64,2:11.64
1,9.76,2:19.697,5,9.63,2:20.218,2,9.82,2:19.862,4,9.54,2:19.944,3,9.66,2:19.883,6,11.52,2:23.153
