EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME,Julia ALBERT POSITION,Julia ALBERT LAP TIME,Julia ALBERT ELAPSED TIME,SEO Whi Min POSITION,SEO Whi Min LAP TIME,SEO Whi Min ELAPSED TIME,Renee Marie STEENGE POSITION,Renee Marie STEENGE LAP TIME,Renee Marie STEENGE ELAPSED TIME,IVANDIC Maja POSITION,IVANDIC Maja LAP TIME,IVANDIC Maja ELAPSED TIME
2,14.20,14.20,4,14.45,14.45,3,14.37,14.37,1,14.11,14.11,5,14.63,14.63
1,11.59,25.79,4,11.58,26.03,3,11.62,25.99,2,11.79,25.90,5,11.81,26.44
2,9.86,35.65,4,10.32,36.35,1,9.65,35.64,3,9.90,35.80,5,10.50,36.94
2,9.51,45.16,4,10.38,46.73,1,9.44,45.08,2,9.36,45.16,5,10.37,47.31
3,9.87,55.03,4,10.59,57.32,1,9.58,54.66,2,9.61,54.77,5,10.42,57.73
3,9.49,1:04.52,4,10.78,1:08.10,1,9.57,1:04.23,2,9.56,1:04.33,5,10.49,1:08.22
3,9.56,1:14.08,4,10.95,1:19.05,1,9.51,1:13.74,2,9.61,1:13.94,5,10.99,1:19.21
3,9.65,1:23.73,4,11.05,1:30.10,1,9.64,1:23.38,2,9.74,1:23.68,5,11.15,1:30.36
2,9.86,1:33.59,4,11.38,1:41.48,1,9.85,1:33.23,3,9.97,1:33.65,5,11.38,1:41.74
