Ivan BELOV POSITION,Ivan BELOV LAP TIME,Ivan BELOV ELAPSED TIME,Yoshiharu ARINO POSITION,Yoshiharu ARINO LAP TIME,Yoshiharu ARINO ELAPSED TIME,Andre HARTWIG POSITION,Andre HARTWIG LAP TIME,Andre HARTWIG ELAPSED TIME,RYBALKO Alexander POSITION,RYBALKO Alexander LAP TIME,RYBALKO Alexander ELAPSED TIME,Nicola FRANCESCHINA POSITION,Nicola FRANCESCHINA LAP TIME,Nicola FRANCESCHINA ELAPSED TIME,Volodymyr CHERNEGA POSITION,Volodymyr CHERNEGA LAP TIME,Volodymyr CHERNEGA ELAPSED TIME
5,8.869,8.869,1,8.125,8.125,3,8.165,8.165,4,8.433,8.433,2,8.149,8.149,6,8.898,8.898
3,11.208,20.077,2,11.869,19.994,1,11.612,19.777,5,11.749,20.182,4,11.943,20.092,6,11.482,20.380
3,12.220,32.296,1,12.102,32.095,2,12.353,32.129,4,12.231,32.413,5,12.364,32.456,6,12.440,32.820
4,11.839,44.135,1,11.752,43.847,2,11.772,43.900,3,11.692,44.104,5,11.762,44.218,6,11.736,44.555
3,11.654,55.788,1,11.766,55.613,2,11.846,55.746,4,11.853,55.956,5,11.781,55.998,6,11.766,56.321
4,12.009,1:07.797,1,11.973,1:07.585,2,11.887,1:07.632,3,11.813,1:07.769,5,11.909,1:07.907,6,11.852,1:08.172
3,11.575,1:19.372,1,11.581,1:19.166,2,11.560,1:19.192,4,11.740,1:19.509,5,11.674,1:19.580,6,11.701,1:19.873
4,10.747,1:30.118,2,10.806,1:29.972,3,10.905,1:30.097,5,10.797,1:30.306,1,10.092,1:29.671,6,10.594,1:30.466
4,9.918,1:40.036,2,9.945,1:39.916,3,9.857,1:39.953,5,9.793,1:40.098,1,10.032,1:39.703,6,9.850,1:40.316
4,10.175,1:50.210,1,9.873,1:49.789,3,9.919,1:49.872,5,10.514,1:50.611,2,10.127,1:49.830,6,10.315,1:50.631
4,9.817,2:00.027,2,9.838,1:59.627,3,9.884,1:59.756,5,9.581,2:00.192,1,9.779,1:59.608,6,10.074,2:00.704
4,10.094,2:10.121,1,9.663,2:09.290,3,9.853,2:09.609,5,9.943,2:10.134,2,9.791,2:09.398,6,10.022,2:10.726
5,10.240,2:20.360,1,9.885,2:19.174,3,9.805,2:19.413,4,10.195,2:20.329,2,9.922,2:19.320,6,10.595,2:21.320
4,10.70,2:31.056,1,10.17,2:29.341,2,10.20,2:29.604,5,10.76,2:31.085,3,10.30,2:29.613,6,11.95,2:33.261
