WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME
1,13.61,13.61,4,13.72,13.72,3,13.62,13.62,2,13.62,13.62
2,9.74,23.35,3,9.80,23.52,1,9.60,23.22,4,10.01,23.63
2,9.45,32.80,3,9.41,32.93,1,9.47,32.69,4,9.43,33.06
1,8.99,41.79,3,9.11,42.04,2,9.22,41.91,4,8.99,42.05
1,9.04,50.83,4,9.14,51.18,2,9.04,50.95,3,8.99,51.04
1,8.98,59.81,4,9.06,1:00.24,3,9.15,1:00.10,2,8.97,1:00.01
1,9.03,1:08.84,4,8.98,1:09.22,3,8.91,1:09.01,2,8.92,1:08.93
1,8.96,1:17.80,4,9.10,1:18.32,2,8.89,1:17.90,3,9.10,1:18.03
1,9.33,1:27.121,4,9.38,1:27.700,2,9.29,1:27.190,3,9.23,1:27.260
