LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME
2,7.19,7.19,3,7.32,,4,7.51,7.51,1,6.85,6.85
2,8.90,16.09,3,8.85,,4,8.93,16.44,1,8.84,15.69
2,8.22,24.31,2,8.14,,4,8.43,24.87,1,8.52,24.21
1,8.67,32.98,2,8.81,,3,8.57,33.44,4,20.91,45.12
1,8.66,41.64,2,8.69,,3,8.75,42.19,4,12.01,57.13
