Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME,MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,Federica TOMBOLATO POSITION,Federica TOMBOLATO LAP TIME,Federica TOMBOLATO ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME
2,14.08,,5,14.47,14.47,1,13.97,13.97,4,14.27,14.27,3,14.10,
3,10.73,,5,10.64,25.11,2,10.74,24.71,4,10.66,24.93,1,10.43,
2,10.56,,5,10.68,35.79,3,10.68,35.39,4,10.66,35.59,1,10.80,
1,10.24,,5,10.24,46.03,3,10.40,45.79,4,10.31,45.90,1,10.28,
3,10.41,,5,10.29,56.32,2,10.17,55.96,4,10.24,56.14,1,10.34,
2,9.87,,4,9.75,1:06.07,1,9.80,1:05.76,3,9.82,1:05.96,5,10.92,
2,9.78,,4,9.81,1:15.88,1,9.83,1:15.59,3,9.81,1:15.77,5,30.86,
2,9.76,,4,9.76,1:25.64,1,9.77,1:25.36,3,9.78,1:25.55,5,13.24,
2,9.77,,3,9.62,1:35.26,1,9.78,1:35.14,4,10.02,1:35.57,5,18.75,2:09.72
