Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,WANG Xinyue POSITION,WANG Xinyue LAP TIME,WANG Xinyue ELAPSED TIME,Yelena SKACHKOVA POSITION,Yelena SKACHKOVA LAP TIME,Yelena SKACHKOVA ELAPSED TIME,Ekaterina BELOVA POSITION,Ekaterina BELOVA LAP TIME,Ekaterina BELOVA ELAPSED TIME
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
4,7.710,7.710,1,7.280,7.280,2,7.480,7.480,3,7.630,7.630
3,9.940,17.660,1,10.160,17.450,4,10.510,17.990,2,9.830,17.470
3,9.670,27.330,2,9.690,27.140,4,9.900,27.900,1,9.500,26.970
3,9.550,36.880,2,9.560,36.710,4,10.190,38.090,1,9.550,36.520
3,9.570,46.460,2,9.680,46.400,4,10.650,48.740,1,9.770,46.300
