Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME
1,6.85,6.85,2,6.99,6.99,3,7.10,7.10,4,7.48,7.48
1,9.00,15.85,2,8.94,15.93,3,8.93,16.03,4,9.15,16.63
2,8.53,24.38,1,8.44,24.37,3,8.49,24.52,4,8.72,25.35
2,8.68,33.06,1,8.61,32.98,3,8.64,33.16,4,8.93,34.28
2,8.78,41.835,1,8.74,41.718,3,8.76,41.913,4,9.10,43.376
