DOAK Rikki POSITION,DOAK Rikki LAP TIME,DOAK Rikki ELAPSED TIME,VALCEPINA Arianna POSITION,VALCEPINA Arianna LAP TIME,VALCEPINA Arianna ELAPSED TIME,THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME,DANNEEL Alexandra POSITION,DANNEEL Alexandra LAP TIME,DANNEEL Alexandra ELAPSED TIME,ASCIC Valentina POSITION,ASCIC Valentina LAP TIME,ASCIC Valentina ELAPSED TIME
1,7.27,7.27,3,7.63,7.63,2,7.43,7.43,4,7.75,7.75,5,7.90,7.90
1,9.37,16.64,3,9.39,17.02,2,9.34,16.77,4,9.55,17.30,5,9.54,17.44
1,8.90,25.54,3,8.78,25.80,2,8.80,25.57,4,9.10,26.40,5,9.11,26.55
2,9.23,34.77,2,8.97,34.77,1,9.11,34.68,4,9.28,35.68,5,9.27,35.82
2,9.55,44.321,3,9.63,44.407,1,9.51,44.19,4,9.55,45.236,5,9.43,45.250
