Tomas GRESCHNER POSITION,Tomas GRESCHNER LAP TIME,Tomas GRESCHNER ELAPSED TIME,Alexander SEKISOV POSITION,Alexander SEKISOV LAP TIME,Alexander SEKISOV ELAPSED TIME,Zbigniew BRODKA POSITION,Zbigniew BRODKA LAP TIME,Zbigniew BRODKA ELAPSED TIME,Andre HARTWIG POSITION,Andre HARTWIG LAP TIME,Andre HARTWIG ELAPSED TIME,Yevgen YAKOVLEV POSITION,Yevgen YAKOVLEV LAP TIME,Yevgen YAKOVLEV ELAPSED TIME,Jarmil HRUZA POSITION,Jarmil HRUZA LAP TIME,Jarmil HRUZA ELAPSED TIME
1,7.589,7.589,3,7.955,7.955,2,7.843,7.843,4,8.027,8.027,5,8.248,8.248,6,8.254,8.254
1,11.697,19.285,3,11.795,19.749,2,11.752,19.594,4,11.786,19.813,5,11.803,20.050,6,11.956,20.209
1,10.848,30.132,3,10.738,30.487,2,10.803,30.397,4,10.740,30.552,6,10.696,30.746,5,10.512,30.721
1,10.772,40.904,5,10.760,41.247,4,10.657,41.053,2,10.461,41.013,6,10.605,41.350,3,10.314,41.035
1,10.098,51.001,6,10.336,51.582,3,10.177,51.229,4,10.359,51.371,5,10.191,51.541,2,10.117,51.151
1,10.116,1:01.117,5,10.086,1:01.667,3,10.173,1:01.401,4,10.136,1:01.507,6,10.219,1:01.759,2,10.238,1:01.388
1,10.459,1:11.575,5,10.423,1:12.090,3,10.496,1:11.897,4,10.476,1:11.983,6,10.501,1:12.260,2,10.410,1:11.798
1,10.264,1:21.839,4,10.177,1:22.267,2,10.231,1:22.127,5,10.328,1:22.310,6,10.266,1:22.526,3,10.375,1:22.173
2,10.242,1:32.081,1,9.732,1:31.998,4,10.152,1:32.279,3,9.953,1:32.262,6,9.904,1:32.430,5,10.144,1:32.316
3,10.098,1:42.179,1,9.919,1:41.917,6,10.467,1:42.745,2,9.757,1:42.019,5,10.147,1:42.576,4,10.202,1:42.518
4,10.326,1:52.504,1,10.429,1:52.345,5,10.091,1:52.836,2,10.351,1:52.370,6,10.263,1:52.839,3,9.906,1:52.424
4,10.760,2:03.264,1,10.494,2:02.838,5,10.440,2:03.275,2,10.609,2:02.979,6,10.509,2:03.347,3,10.770,2:03.193
5,10.926,2:14.190,1,10.740,2:13.578,3,10.703,2:13.978,2,10.833,2:13.811,4,10.680,2:14.026,6,11.311,2:14.503
5,10.95,2:25.137,1,11.11,2:24.679,3,10.89,2:24.859,2,10.96,2:24.765,4,10.90,2:24.918,6,28.06,2:42.562
