VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME
5,10.53,10.53,6,10.66,10.66,4,10.51,10.51,3,10.46,10.46,2,10.42,10.42,1,10.32,10.32,6,10.66,10.66
6,14.17,24.70,7,14.20,24.86,4,13.87,24.38,2,13.64,24.10,3,13.82,24.24,1,13.64,23.96,5,13.87,24.53
7,12.80,37.50,5,12.36,37.22,6,12.95,37.33,3,12.89,36.99,4,12.87,37.11,2,12.89,36.85,1,12.23,36.76
7,11.87,49.37,5,11.78,49.00,6,11.85,49.18,4,11.84,48.83,2,11.62,48.73,1,11.83,48.68,3,12.02,48.78
7,10.54,59.91,5,10.57,59.57,6,10.56,59.74,3,10.63,59.46,3,10.73,59.46,1,10.57,59.25,2,10.60,59.38
7,10.62,1:10.53,4,10.57,1:10.14,5,10.54,1:10.28,3,10.55,1:10.01,6,10.91,1:10.37,1,10.52,1:09.77,2,10.56,1:09.94
7,10.24,1:20.77,4,10.22,1:20.36,5,10.22,1:20.50,3,10.18,1:20.19,6,10.28,1:20.65,1,10.25,1:20.02,2,10.21,1:20.15
7,9.56,1:30.33,4,9.65,1:30.01,5,9.61,1:30.11,1,9.57,1:29.76,5,9.46,1:30.11,2,9.76,1:29.78,3,9.64,1:29.79
7,9.47,1:39.80,4,9.40,1:39.41,6,9.56,1:39.67,1,9.28,1:39.04,5,9.41,1:39.52,3,9.50,1:39.28,2,9.35,1:39.14
7,9.47,1:49.27,3,9.57,1:48.98,4,9.43,1:49.10,1,9.74,1:48.78,5,9.59,1:49.11,5,9.83,1:49.11,2,9.76,1:48.90
7,10.06,1:59.33,2,9.78,1:58.76,5,10.00,1:59.10,4,10.21,1:58.99,3,9.78,1:58.89,6,10.10,1:59.21,1,9.85,1:58.75
7,9.78,2:09.11,1,9.43,2:08.19,5,9.90,2:09.00,4,9.88,2:08.87,3,9.85,2:08.74,6,9.86,2:09.07,2,9.88,2:08.63
2,9.52,2:18.63,1,9.51,2:17.70,7,10.12,2:19.12,5,9.94,2:18.81,4,9.93,2:18.67,6,9.90,2:18.97,2,10.00,2:18.63
2,9.27,2:27.90,1,9.81,2:27.51,7,10.61,2:29.705,0,,PHOTO,5,,2:28.913,6,10.06,2:29.017,3,10.16,2:28.79
