Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME,Amanda OVERLAND POSITION,Amanda OVERLAND LAP TIME,Amanda OVERLAND ELAPSED TIME,Francesca JACKSON POSITION,Francesca JACKSON LAP TIME,Francesca JACKSON ELAPSED TIME,Anna ROMANOWICZ POSITION,Anna ROMANOWICZ LAP TIME,Anna ROMANOWICZ ELAPSED TIME
0,,,3,15.780,15.780,2,15.610,15.610,1,15.340,15.340
4,0.000,27.440,2,11.460,27.240,3,11.680,27.300,1,11.840,27.190
3,10.650,38.100,2,10.630,37.870,4,10.800,38.100,1,10.580,37.770
3,10.060,48.160,1,10.060,47.930,4,10.580,48.690,2,10.300,48.080
3,10.370,58.530,1,10.370,58.310,4,10.940,59.630,2,10.400,58.480
3,10.510,1:09.050,1,10.610,1:08.920,4,11.160,1:10.790,2,10.480,1:08.960
3,10.410,1:19.460,1,10.380,1:19.310,4,11.540,1:22.330,2,10.450,1:19.410
2,10.330,1:29.790,1,9.900,1:29.210,4,12.110,1:34.440,3,10.630,1:30.050
2,10.280,1:40.080,1,10.450,1:39.670,4,12.510,1:46.960,3,10.930,1:40.990
