CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME
4,10.49,10.49,1,9.91,9.91,2,10.11,10.11,5,10.64,10.64,3,10.30,10.30
4,15.00,25.49,1,15.13,25.04,2,15.09,25.20,5,14.96,25.60,3,15.03,25.33
3,13.85,39.34,2,14.19,39.23,4,14.17,39.37,5,13.99,39.59,1,13.90,39.23
1,10.80,50.14,2,11.01,50.24,5,11.09,50.46,4,10.84,50.43,3,11.13,50.36
1,10.93,1:01.07,2,10.85,1:01.09,5,10.97,1:01.43,4,10.85,1:01.28,3,10.83,1:01.19
3,10.64,1:11.71,1,10.51,1:11.60,5,10.56,1:11.99,4,10.59,1:11.87,2,10.48,1:11.67
2,9.92,1:21.63,3,10.04,1:21.64,5,9.89,1:21.88,4,9.89,1:21.76,1,9.91,1:21.58
1,9.64,1:31.27,3,9.79,1:31.43,5,9.78,1:31.66,4,9.79,1:31.55,2,9.78,1:31.36
2,9.82,1:41.09,3,9.77,1:41.20,5,9.78,1:41.44,4,9.80,1:41.35,1,9.62,1:40.98
2,9.17,1:50.26,3,9.18,1:50.38,5,9.19,1:50.63,4,9.15,1:50.50,1,9.22,1:50.20
2,9.00,1:59.26,3,8.98,1:59.36,5,9.01,1:59.64,4,8.97,1:59.47,1,9.00,1:59.20
2,9.09,2:08.35,3,9.04,2:08.40,5,9.01,2:08.65,4,9.00,2:08.47,1,9.05,2:08.25
3,9.11,2:17.46,4,9.10,2:17.50,5,9.13,2:17.78,2,8.90,2:17.37,1,9.10,2:17.35
3,9.24,2:26.692,4,9.39,2:26.889,5,9.33,2:27.104,1,9.00,2:26.365,2,9.21,2:26.558
