PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME
2,9.60,9.60,1,9.44,9.44,4,9.73,9.73,5,9.78,9.78,3,9.66,9.66
2,13.21,22.81,1,13.21,22.65,4,13.35,23.08,5,13.45,23.23,3,13.31,22.97
3,11.86,34.67,2,11.88,34.53,5,11.84,34.92,1,11.29,34.52,4,11.83,34.80
2,10.37,45.04,3,10.58,45.11,5,10.46,45.38,1,10.49,45.01,4,10.44,45.24
1,10.06,55.10,3,10.17,55.28,5,10.08,55.46,2,10.16,55.17,4,10.13,55.37
1,10.27,1:05.37,1,10.09,1:05.37,5,10.23,1:05.69,3,10.27,1:05.44,4,10.15,1:05.52
3,9.72,1:15.09,1,9.52,1:14.89,5,9.58,1:15.27,4,9.69,1:15.13,2,9.49,1:15.01
4,9.35,1:24.44,2,9.35,1:24.24,5,9.28,1:24.55,1,9.03,1:24.16,3,9.34,1:24.35
4,9.35,1:33.79,2,9.37,1:33.61,5,9.35,1:33.90,1,9.36,1:33.52,3,9.36,1:33.71
4,9.21,1:43.00,1,9.05,1:42.66,5,9.27,1:43.17,2,9.26,1:42.78,3,9.20,1:42.91
4,8.87,1:51.87,1,8.91,1:51.57,5,8.93,1:52.10,2,8.89,1:51.67,3,8.87,1:51.78
3,8.76,2:00.63,1,8.84,2:00.41,5,9.28,2:01.38,2,8.85,2:00.52,4,8.88,2:00.66
2,8.80,2:09.43,1,8.90,2:09.31,5,9.66,2:11.04,4,9.13,2:09.65,3,8.97,2:09.63
1,8.81,2:18.24,2,9.05,2:18.36,5,10.24,2:21.282,4,10.11,2:19.760,3,9.06,2:18.69
