HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME,Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME,Jose Ignacio FAZIO POSITION,Jose Ignacio FAZIO LAP TIME,Jose Ignacio FAZIO ELAPSED TIME
2,7.10,7.10,1,6.94,6.94,3,7.25,7.25,4,7.46,7.46
2,9.02,16.12,1,9.06,16.00,3,9.15,16.40,4,9.63,17.09
1,8.83,24.95,2,9.01,25.01,3,8.99,25.39,4,10.10,27.19
1,8.75,33.70,2,9.03,34.04,3,9.11,34.50,4,10.02,37.21
1,9.08,42.773,2,9.49,43.524,3,9.50,43.996,4,10.27,47.472
