Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,CHEN Dequan POSITION,CHEN Dequan LAP TIME,CHEN Dequan ELAPSED TIME,Koen HAKKENBERG POSITION,Koen HAKKENBERG LAP TIME,Koen HAKKENBERG ELAPSED TIME,Thibaut MELINE POSITION,Thibaut MELINE LAP TIME,Thibaut MELINE ELAPSED TIME
3,13.17,13.17,2,13.04,13.04,1,12.94,12.94,4,13.30,13.30
3,9.82,22.99,2,9.82,22.86,1,9.81,22.75,4,9.91,23.21
3,9.30,32.29,1,9.29,32.15,2,9.40,32.15,4,9.19,32.40
2,9.15,41.44,1,9.21,41.36,3,9.39,41.54,4,9.29,41.69
2,9.23,50.67,1,9.23,50.59,3,9.22,50.76,4,9.24,50.93
2,9.18,59.85,1,9.14,59.73,3,9.22,59.98,4,9.18,1:00.11
2,9.05,1:08.90,1,9.07,1:08.80,3,9.12,1:09.10,4,9.08,1:09.19
2,9.10,1:18.00,1,9.09,1:17.89,3,9.26,1:18.36,4,9.19,1:18.38
2,9.07,1:27.065,1,9.08,1:26.970,3,9.95,1:28.304,0,,PEN
