Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Claudio RINALDI POSITION,Claudio RINALDI LAP TIME,Claudio RINALDI ELAPSED TIME,Dennis WALZER POSITION,Dennis WALZER LAP TIME,Dennis WALZER ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME
1,7.04,7.04,3,7.26,7.26,4,7.34,7.34,2,7.12,7.12
2,9.39,16.43,1,9.00,16.26,3,9.17,16.52,4,9.61,16.74
2,8.99,25.42,1,9.15,25.41,3,8.91,25.44,4,9.01,25.75
1,8.94,34.37,3,9.09,34.50,4,9.18,34.63,2,8.72,34.48
1,9.24,43.602,2,9.15,43.643,4,9.21,43.840,3,9.23,43.703
