ANIKEJ Rafal POSITION,ANIKEJ Rafal LAP TIME,ANIKEJ Rafal ELAPSED TIME,Mukerrem DENIZ POSITION,Mukerrem DENIZ LAP TIME,Mukerrem DENIZ ELAPSED TIME,Sebastian CANO POSITION,Sebastian CANO LAP TIME,Sebastian CANO ELAPSED TIME,Zachary BIGGS POSITION,Zachary BIGGS LAP TIME,Zachary BIGGS ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,MARTINIC Ivan POSITION,MARTINIC Ivan LAP TIME,MARTINIC Ivan ELAPSED TIME
3,10.19,10.19,1,9.88,9.88,4,10.32,10.32,2,10.01,10.01,5,10.49,10.49,6,10.63,10.63
4,14.12,24.31,2,14.14,24.02,5,14.11,24.43,1,13.84,23.85,3,13.69,24.18,6,13.94,24.57
5,12.06,36.37,2,12.00,36.02,4,11.89,36.32,1,12.05,35.90,3,12.02,36.20,6,12.07,36.64
5,11.43,47.80,2,11.35,47.37,4,11.37,47.69,1,11.37,47.27,3,11.36,47.56,6,11.30,47.94
5,10.94,58.74,2,11.04,58.41,4,10.98,58.67,1,11.03,58.30,3,10.99,58.55,6,10.88,58.82
4,10.72,1:09.46,2,10.82,1:09.23,5,10.81,1:09.48,1,10.85,1:09.15,3,10.83,1:09.38,6,10.83,1:09.65
1,9.65,1:19.11,5,10.31,1:19.54,4,10.05,1:19.53,2,10.13,1:19.28,3,10.05,1:19.43,6,10.08,1:19.73
1,9.72,1:28.83,6,9.81,1:29.35,4,9.68,1:29.21,2,9.68,1:28.96,3,9.68,1:29.11,5,9.58,1:29.31
1,9.32,1:38.15,6,9.49,1:38.84,4,9.32,1:38.53,2,9.33,1:38.29,3,9.30,1:38.41,5,9.43,1:38.74
1,9.14,1:47.29,5,9.15,1:47.99,4,9.09,1:47.62,2,9.14,1:47.43,3,9.11,1:47.52,6,9.39,1:48.13
1,9.20,1:56.49,5,9.30,1:57.29,3,9.07,1:56.69,4,9.30,1:56.73,2,9.12,1:56.64,6,9.55,1:57.68
1,9.35,2:05.84,5,9.65,2:06.94,4,9.86,2:06.55,3,9.63,2:06.36,2,9.55,2:06.19,6,10.10,2:07.78
1,9.57,2:15.41,5,10.00,2:16.94,4,10.09,2:16.64,3,9.67,2:16.03,2,9.74,2:15.93,6,10.85,2:18.63
1,9.91,2:25.315,5,,2:27.306,4,,2:27.289,3,10.03,2:26.043,2,10.01,2:25.928,6,11.43,2:30.037
