Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,YU Yongjun POSITION,YU Yongjun LAP TIME,YU Yongjun ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME
4,13.17,13.17,2,13.01,13.01,1,12.99,12.99,3,13.03,13.03
4,10.48,23.65,1,10.35,23.36,2,10.48,23.47,3,10.54,23.57
4,10.13,33.78,1,10.17,33.53,2,10.07,33.54,3,10.04,33.61
4,9.73,43.51,2,9.80,43.33,1,9.69,43.23,3,9.80,43.41
3,9.89,53.40,2,9.95,53.28,1,9.96,53.19,4,9.99,53.40
3,9.67,1:03.07,1,9.50,1:02.78,2,9.78,1:02.97,4,9.79,1:03.19
3,9.40,1:12.47,1,9.35,1:12.13,2,9.31,1:12.28,4,9.44,1:12.63
3,9.35,1:21.82,1,9.46,1:21.59,2,9.40,1:21.68,4,9.58,1:22.21
2,9.37,1:31.185,1,9.47,1:31.059,3,9.59,1:31.262,4,9.72,1:31.924
