KIM Yong-Sung POSITION,KIM Yong-Sung LAP TIME,KIM Yong-Sung ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME,Nicolas BEAN POSITION,Nicolas BEAN LAP TIME,Nicolas BEAN ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME
3,13.82,13.82,2,13.74,13.74,4,13.89,13.89,1,13.55,13.55
2,10.46,24.28,3,10.54,24.29,1,10.06,23.96,4,10.96,24.52
3,10.16,34.45,4,10.16,34.45,2,10.37,34.34,1,9.80,34.33
3,9.96,44.41,4,10.01,44.47,1,9.71,44.05,2,9.99,44.32
2,9.12,53.54,3,9.21,53.68,1,9.34,53.40,4,9.44,53.77
2,9.20,1:02.75,1,9.03,1:02.72,3,9.44,1:02.84,4,9.08,1:02.85
1,9.21,1:11.96,2,9.36,1:12.08,4,9.48,1:12.33,3,9.34,1:12.19
1,9.30,1:21.26,2,9.22,1:21.31,3,9.00,1:21.33,4,9.16,1:21.35
1,9.37,1:30.627,2,9.38,1:30.684,4,11.36,1:32.681,3,9.36,1:30.703
