Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Olga BELYAKOVA POSITION,Olga BELYAKOVA LAP TIME,Olga BELYAKOVA ELAPSED TIME,Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME
1,8.96,8.96,5,9.25,9.25,6,9.42,9.42,4,9.10,9.10,2,9.04,9.04,3,9.09,9.09
2,12.47,21.43,5,12.53,21.78,6,12.49,21.91,3,12.45,21.55,4,12.60,21.64,1,12.18,21.27
5,12.01,33.44,4,11.57,33.35,6,11.65,33.56,2,11.69,33.24,1,11.50,33.14,3,12.06,33.33
5,11.18,44.62,1,10.65,44.00,6,11.15,44.71,3,11.06,44.30,2,11.02,44.16,4,11.11,44.44
5,10.35,54.97,1,10.66,54.66,4,10.23,54.94,3,10.56,54.86,2,10.58,54.74,6,10.54,54.98
5,10.75,1:05.72,1,10.57,1:05.23,4,10.65,1:05.59,3,10.62,1:05.48,2,10.58,1:05.32,6,10.84,1:05.82
5,10.74,1:16.46,1,10.77,1:16.00,4,10.75,1:16.34,3,10.75,1:16.23,2,10.79,1:16.11,6,10.74,1:16.56
5,10.40,1:26.86,2,10.58,1:26.58,4,10.39,1:26.73,3,10.36,1:26.59,1,10.44,1:26.55,6,10.40,1:26.96
3,9.86,1:36.72,4,10.28,1:36.86,5,10.24,1:36.97,2,10.12,1:36.71,1,10.06,1:36.61,6,10.11,1:37.07
3,9.73,1:46.45,4,9.73,1:46.59,5,9.72,1:46.69,2,9.63,1:46.34,1,9.66,1:46.27,6,10.16,1:47.23
3,9.83,1:56.28,4,9.78,1:56.37,5,9.83,1:56.52,2,9.84,1:56.18,1,9.85,1:56.12,6,10.10,1:57.33
2,9.65,2:05.93,4,9.69,2:06.06,5,9.91,2:06.43,3,9.78,2:05.96,1,9.77,2:05.89,6,10.55,2:07.88
2,9.86,2:15.79,4,9.92,2:15.98,5,10.28,2:16.71,3,9.93,2:15.89,1,9.82,2:15.71,6,10.83,2:18.71
1,9.82,2:25.610,4,10.07,2:26.043,5,10.81,2:27.520,2,9.96,2:25.848,3,10.14,2:25.850,6,11.59,2:30.297
