Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,MA Qiang POSITION,MA Qiang LAP TIME,MA Qiang ELAPSED TIME,Edoardo REGGIANI POSITION,Edoardo REGGIANI LAP TIME,Edoardo REGGIANI ELAPSED TIME
1,8.56,8.56,2,8.75,8.75,3,8.87,8.87,4,9.00,9.00
2,11.42,19.98,1,11.17,19.92,3,11.15,20.02,4,11.10,20.10
3,11.02,31.00,1,10.90,30.82,2,10.90,30.92,4,11.04,31.14
1,10.55,41.55,2,10.87,41.69,3,10.88,41.80,4,10.79,41.93
1,10.16,51.71,2,10.09,51.78,3,10.10,51.90,4,10.08,52.01
1,10.26,1:01.97,2,10.28,1:02.06,3,10.27,1:02.17,4,10.28,1:02.29
1,10.26,1:12.23,2,10.24,1:12.30,3,10.23,1:12.40,4,10.23,1:12.52
1,10.16,1:22.39,2,10.15,1:22.45,3,10.14,1:22.54,4,10.12,1:22.64
2,10.08,1:32.47,1,9.99,1:32.44,3,10.06,1:32.60,4,10.11,1:32.75
2,10.03,1:42.50,1,9.97,1:42.41,3,9.99,1:42.59,4,9.93,1:42.68
2,9.97,1:52.47,1,10.05,1:52.46,3,9.99,1:52.58,4,10.00,1:52.68
1,9.75,2:02.22,2,9.82,2:02.28,4,10.06,2:02.64,3,9.85,2:02.53
1,9.96,2:12.18,3,10.01,2:12.29,2,9.60,2:12.24,4,9.93,2:12.46
2,9.76,2:21.932,3,9.79,2:22.079,1,9.53,2:21.765,4,10.37,2:22.827
