CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,XU Hongzhi POSITION,XU Hongzhi LAP TIME,XU Hongzhi ELAPSED TIME,SU Jun-Peng POSITION,SU Jun-Peng LAP TIME,SU Jun-Peng ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME,Tomass BAKEVICS POSITION,Tomass BAKEVICS LAP TIME,Tomass BAKEVICS ELAPSED TIME
5,11.46,11.46,3,11.10,11.10,4,11.27,11.27,2,10.94,10.94,1,10.88,10.88,6,11.71,11.71
5,15.02,26.48,3,15.08,26.18,4,15.04,26.31,2,15.05,25.99,1,14.97,25.85,6,15.01,26.72
2,12.72,39.20,4,13.32,39.50,5,13.38,39.69,3,13.36,39.35,1,13.25,39.10,6,13.14,39.86
2,11.60,50.80,4,11.63,51.13,5,11.61,51.30,3,11.62,50.97,1,11.64,50.74,6,11.55,51.41
2,10.55,1:01.35,3,10.28,1:01.41,5,10.41,1:01.71,1,10.28,1:01.25,4,10.71,1:01.45,6,10.44,1:01.85
1,9.99,1:11.34,3,10.05,1:11.46,6,10.09,1:11.80,2,10.15,1:11.40,4,10.04,1:11.49,5,9.82,1:11.67
2,9.68,1:21.02,1,9.47,1:20.93,6,9.69,1:21.49,3,9.68,1:21.08,4,9.69,1:21.18,5,9.70,1:21.37
2,9.51,1:30.53,3,9.69,1:30.62,6,9.55,1:31.04,1,9.34,1:30.42,4,9.61,1:30.79,5,9.56,1:30.93
2,9.46,1:39.99,3,9.48,1:40.10,6,9.41,1:40.45,1,9.47,1:39.89,4,9.40,1:40.19,5,9.39,1:40.32
2,9.51,1:49.50,3,9.47,1:49.57,6,9.42,1:49.87,1,9.52,1:49.41,4,9.52,1:49.71,4,9.39,1:49.71
2,9.21,1:58.71,3,9.47,1:59.04,5,9.32,1:59.19,1,9.20,1:58.61,6,9.64,1:59.35,4,9.38,1:59.09
2,9.22,2:07.93,3,9.04,2:08.08,4,9.44,2:08.63,1,9.20,2:07.81,6,9.66,2:09.01,5,9.81,2:08.90
2,9.06,2:16.99,3,9.02,2:17.10,4,9.41,2:18.04,1,9.09,2:16.90,5,9.83,2:18.84,6,10.14,2:19.04
2,9.26,2:26.25,3,9.22,2:26.32,4,9.69,2:27.733,1,9.28,2:26.18,5,10.27,2:29.113,6,10.73,2:29.776
